=== AUDIT LOG INITIATED 2026-05-19T22:15:27.990Z ===
[1:15:28 AM] 🚀 BOT STARTING — Mode: DEMO | Strategy: BOTH5 | Base Stake: $0.35
[1:15:28 AM] 🎯 Active Market Locked: V50 (Opening Balance: $10000.00)
[1:15:28 AM] 🔄 Market shift: Locking onto signal on market V75
[1:15:28 AM] 📊 [TICK EVAL] V75 | Phase: NORMAL | Dominance Met: YES (73.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ✅ WIN (+$0.48) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.95x | session P&L: $13.58 | Mathematical Expectancy: $0.0650
[1:15:42 AM] 📊 [TICK EVAL] V50 (1s) | Phase: NORMAL | Dominance Met: YES (70.5% vs 65%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.75x | session P&L: $13.23 | Mathematical Expectancy: $0.0630
[1:15:42 AM] 🔄 Market shift: Gravitating to highest meta-scored market V100 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 🔄 Market shift: Locking onto signal on market V50 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V50 (1s) | Phase: NORMAL | Dominance Met: YES (75.0% vs 65%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (3/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: CAUTION | Stake Multiplier: 0.55x | session P&L: $12.88 | Mathematical Expectancy: $0.0610
[1:15:42 AM] 🔄 Market shift: Gravitating to highest meta-scored market V100 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 🔄 Market shift: Locking onto signal on market V25
[1:15:42 AM] 📊 [TICK EVAL] V25 | Phase: NORMAL | Dominance Met: YES (73.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (3/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V25 | Result: ✅ WIN (+$0.48) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.70x | session P&L: $13.36 | Mathematical Expectancy: $0.0630
[1:15:42 AM] 📊 [TICK EVAL] V25 | Phase: NORMAL | Dominance Met: YES (71.1% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V25 | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.50x | session P&L: $13.01 | Mathematical Expectancy: $0.0611
[1:15:42 AM] 📊 [TICK EVAL] V25 | Phase: NORMAL | Dominance Met: YES (72.7% vs 65%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V25 | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: CAUTION | Stake Multiplier: 0.40x | session P&L: $12.66 | Mathematical Expectancy: $0.0592
[1:15:42 AM] 🔄 Market shift: Gravitating to highest meta-scored market V100 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 🔄 Market shift: Locking onto signal on market V50 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V50 (1s) | Phase: CAUTION | Dominance Met: YES (72.7% vs 70%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ✅ WIN (+$0.48) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.55x | session P&L: $13.14 | Mathematical Expectancy: $0.0611
[1:15:42 AM] 📊 [TICK EVAL] V50 (1s) | Phase: NORMAL | Dominance Met: YES (70.5% vs 65%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ✅ WIN (+$0.48) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.70x | session P&L: $13.62 | Mathematical Expectancy: $0.0631
[1:15:42 AM] 📊 [TICK EVAL] V50 (1s) | Phase: NORMAL | Dominance Met: YES (68.2% vs 65%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.50x | session P&L: $13.27 | Mathematical Expectancy: $0.0612
[1:15:42 AM] 🔄 Market shift: Gravitating to highest meta-scored market V100 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 🔄 Market shift: Locking onto signal on market V50 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V50 (1s) | Phase: NORMAL | Dominance Met: YES (68.2% vs 65%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ✅ WIN (+$0.48) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.65x | session P&L: $13.75 | Mathematical Expectancy: $0.0631
[1:15:42 AM] 📊 [TICK EVAL] V50 (1s) | Phase: NORMAL | Dominance Met: YES (65.9% vs 65%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.45x | session P&L: $13.40 | Mathematical Expectancy: $0.0612
[1:15:42 AM] 🔄 Market shift: Gravitating to highest meta-scored market V100 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 🔄 Market shift: Locking onto signal on market V50 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V50 (1s) | Phase: NORMAL | Dominance Met: YES (66.7% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:42 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: CAUTION | Stake Multiplier: 0.40x | session P&L: $13.05 | Mathematical Expectancy: $0.0593
[1:15:42 AM] 🔄 Market shift: Gravitating to highest meta-scored market V100 (1s)
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (53.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (54.3% vs 65%, side: UNDER) | D5 Passed: YES (8.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (54.3% vs 65%, side: UNDER) | D5 Passed: YES (8.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 📊 [TICK EVAL] V100 (1s) | Phase: NORMAL | Dominance Met: NO (55.3% vs 65%, side: UNDER) | D5 Passed: YES (6.0%) | Exhaustion: NO | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:42 AM] 🔄 Market shift: Locking onto signal on market V25
[1:15:42 AM] 📊 [TICK EVAL] V25 | Phase: CAUTION | Dominance Met: YES (72.7% vs 70%, side: UNDER) | D5 Passed: YES (12.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
